Keyword,Results,Free,Paid,Avg-Rating,Avg-Reviews,Top-3
instagram feed,219,110,109,4.7,376.0,"Instafeed ‑ Instagram Feed|Instafeed, Instagram Feed Shop|Instagram Feed + Stories"
instafeed,131,67,64,4.72,398.0,"Instafeed ‑ Instagram Feed|Instafeed, Instagram Feed Shop|InstaFeed Shoppable Instagram"
instagram shop,806,456,350,4.52,446.0,Facebook & Instagram Shopping|Instagram shop by SNPT|Instagram Shopping & Feed
instant search,305,150,155,4.85,462.0,Instant Search & Smart Filters|Smart Search & Instant Search|Filters & Instant Search
instashow,0,2,2,4.53,62.0,InstaShow ‑ Instagram Feed|Instagram Stories Ambassadors|Prime Badges Stickers & Labels
instashop,0,2,2,4.53,62.0,Prime Badges Stickers & Labels|InstaShop: Shoppable Instagram|Instagram Stories Ambassadors
instagram gallery,133,72,61,4.67,230.0,Instagram Feed & Slider Pro  |Shop Instagram Feed & UGC|Instagram Feed ‑ Photo Gallery
intercom,0,8,8,4.4,71.0,Intercom Chat Box Embed|Customer Service & Ticket Desk|ViralSweep Giveaways Contests
intuit,363,191,172,4.65,426.0,Intuitive Shipping|QuickBooks Commerce|HelpCenter | FAQ & HelpDesk
interest print,226,159,67,4.38,421.0,Pinterest|Painterest ‑ Print On Demand|Printful: Print on Demand
intuitive shipping,679,413,266,4.65,612.0,Intuitive Shipping|Smart Boxing |Automate Shipping Profiles
invoice,283,160,123,4.84,119.0,PDF Invoice: Order Printer+|Vify PDF Invoice & Order Print|Sufio: Professional Invoices
inventory,883,458,425,4.61,160.0,Stock Sync ‑ Inventory Update|Etsy Marketplace Integration|Inventory Planner Forecasting
inventory management,486,215,271,4.36,193.0,EasyEcom Inventory Management|MyLogiwa Inventory Management|Stocky
invoices,283,160,123,4.85,119.0,Sufio: Professional Invoices|PDF Invoice: Order Printer+|Vify PDF Invoice & Order Print
inventory alert,207,92,115,4.64,130.0,Low Inventory Alert Guru|Merchbees Low Stock Alert|Low Stock & In Stock Notifier
inventory source,171,75,96,4.65,108.0,Inventory Source|ShipStation|AliExpress Dropshipping&Source
invoicing,283,160,123,4.85,119.0,PDF Invoice: Order Printer+|Vify PDF Invoice & Order Print|Invoice Hero: Invoicing App
javascript,92,47,45,4.65,333.0,SW‑Page Speed Image Optimizer|File Optimizer|Custom JavaScript & jQuery
jewelry,49,30,19,4.09,79.0,Jewelry Solutions|GemFind Jewelry Product APIⓇ|Global Dropshipping ‑ FREE App
jilt,0,6,1,4.87,382.0,"ONE+ Sales Pop Ups, SMS, Email|SmartrMail Email Marketing|Spin Wheel Pop Ups ‑ SmashPops"
json,67,34,33,4.61,689.0,"SEO, JSON‑LD, Schema|JSON‑LD for SEO|TinyIMG SEO & Image Optimizer"
judge.me,89,55,34,4.85,1562.0,Judge.me Product Reviews|AliExpress Review Importer|Checkout Comments
judge,0,8,3,4.85,813.0,Judge.me Product Reviews|AliExpress Review Importer|Checkout Comments
justuno,25,15,10,4.66,630.0,Justuno Pop Ups & Conversion|Email Pop up Spin Wheel Popups|Pop Ups & Bars by Wisepops
just uno,46,26,20,4.3,188.0,Justuno Pop Ups & Conversion|Email Pop up Spin Wheel Popups|Undo
klaviyo,237,125,112,4.77,1868.0,"Klaviyo: Email, SMS & Forms|Form Builder with File Upload|Where's My Order?"
klarna,0,5,7,4.39,73.0,Klarna On‑Site Messaging|Sell with Influencers ‑ Closed|One Click Upsell ‑ Zipify OCU
label,610,362,248,4.6,175.0,"FedEx Rates, Labels & Tracking|Postmen: Easy Shipping Labels|Multi Carrier Shipping Label"
labels,610,362,248,4.6,175.0,"FedEx Rates, Labels & Tracking|Postmen: Easy Shipping Labels|Multi Carrier Shipping Label"
language,556,302,254,4.6,332.0,Language Translate ‑ETranslate|Uplinkly Language Translate|Translate Language ‑ConveyThis
landing page,413,178,235,4.65,1054.0,PageFly Landing Page Builder|Shogun Landing Page Builder|Pagemunch Landing Page Builder
langify,46,15,31,4.79,420.0,langify|LayoutHub Easy Page Builder|Translate & Currency LangShop
landing pages,413,178,235,4.65,1054.0,PageFly Landing Page Builder|Shogun Landing Page Builder|LayoutHub Easy Page Builder
languages,556,302,254,4.63,340.0,Language Translate ‑ETranslate|Uplinkly Language Translate|Translation Lab ‑ AI Translate
landing,199,90,109,4.58,1077.0,PageFly Landing Page Builder|Shogun Landing Page Builder|Pagemunch Landing Page Builder
launchpad,0,2,3,3.56,28.0,Launchpad|Scalify for Facebook Ads|Advanced Collections
lazy load,60,26,34,4.35,608.0,Lazify ‑ Lazy Load Images|SW‑Page Speed Image Optimizer|PageFly Landing Page Builder
leaddyno,0,3,5,4.55,423.0,LeadDyno Affiliate Marketing|Referral Candy|GH: Affiliate Marketing App
lightbox,35,17,18,4.69,94.0,Upsell LightBox ‑ FREE|Modify Promotional Lightbox|POWR Photo Gallery
limespot,0,6,5,4.73,444.0,LimeSpot Personalizer|Frequently Bought Together PRO|Google Feed & Shopping Ads 
limit,683,326,357,4.47,71.0,Order Limits ‑ MinMaxify|Min&Max Limits by Limitsify|Limit Qty Purchase
link,1070,539,531,4.43,216.0,Outlink External Links Button|Broken Link 404/301 Redirect|Short URL Link Shortener
line breaks,247,126,121,4.68,281.0,Quantity Breaks & Discounts|QD (Quantity Breaks/Discounts)|Quantity Price Breaks
live chat,480,259,221,4.55,191.0,Tidio ‑ Live Chat & Chatbots|Facebook Messenger ‑ Live Chat|Gorgias ‑ Live Chat & Helpdesk
locksmith,0,1,4,4.34,634.0,Locksmith|Wholesale Lock Manager|Bold Memberships
local delivery,337,159,178,4.75,122.0,Shopify Local Delivery|Local Delivery Routes Planner|Store Pickup + Delivery
lock,90,44,46,4.53,144.0,Wholesale Lock Manager|EasyLockdown ‑ Wholesale Locks|B2B Login Access Management
location,766,379,387,4.72,65.0,Secomapp: Store Locator Map |Stockist Store Locator|Store Locator by Storemapper
locations,765,379,386,4.72,65.0,Secomapp: Store Locator Map |Stockist Store Locator|Store Locator by Storemapper
logo,311,178,133,4.61,1205.0,Elfsight Logo Showcase|Allergen logos / icons|Easy Watermarks
login,209,103,106,4.23,96.0,B2B Login Access Management|Oxi Social Login|One Click Social Login
log in,361,156,205,4.43,134.0,B2B Login Access Management|Oxi Social Login|One Click Social Login
logo maker,159,79,80,4.47,126.0,Promo.com ‑ Promo Video Maker|Vimeo Create ‑ Video Maker|Elfsight Logo Showcase
loox,110,69,41,4.8,1453.0,Loox Product Reviews & Photos|Spocket ‑ US & EU Dropshipping|Coupo Free Trust Badge
lookbook,54,32,22,4.5,149.0,Lookbook ‑ Shoppable Galleries|Image Gallery + Video ‑ EA|XO Gallery
looks,1446,746,700,4.8,1230.0,Clean Size Charts|Shop The Look|Shop The Look ‑ Zooomy  
loox review,268,145,123,4.77,833.0,Reputon Customer Reviews App|Track Order|Loox Product Reviews & Photos
look,1452,749,703,4.78,1177.0,Lookbook ‑ Shoppable Galleries|Shop The Look|Shop The Look ‑ Zooomy  
low stock,262,112,150,4.8,372.0,Low Stock ‑ Back in Stock Pro|Merchbees Low Stock Alert|Scarcity: Low Stock! Countdown
loyalty,357,222,135,4.7,823.0,"Smile: Rewards & Loyalty |Loyalty, Rewards & Referrals|Loyalty, Wishlist, Reviews UGC"
loyalty program,99,61,38,4.73,496.0,"Gift Cards & Loyalty Program|Loyalty, Rewards & Referrals|Loyalty, Wishlist, Reviews UGC"
loyalty points,213,159,54,4.54,693.0,"Glow: Loyalty Points & Rewards|Loyalty, Rewards & Referrals|Loyalty Points Manager"
loyalty lion,61,40,21,4.68,685.0,"Loyalty, rewards and referrals|Judge.me Product Reviews|NPS & customer satisfaction"
lucky orange,0,5,10,4.0,253.0,Lucky Orange Heatmaps & Replay|Replay Live Session Recordings|Jumbo ‑ Page speed optimizer
magento,48,32,16,4.56,157.0,Magento Migration App|LitExtension Magento Import|SEO Suite: Image Optimizer
mageworx,0,4,6,4.5,66.0,Advanced Product Options|Advanced Bundle Products|Free shipping & Promo bars
mail,486,266,220,4.55,332.0,Merchant Mail|Royal Mail Shipping Extension|Handwritten mail: gain reviews
mailmunch,0,6,4,4.61,255.0,Mailchimp Forms by Mailmunch|MailMunch ‑ Email Popup|Pagemunch Landing Page Builder
mailerlite,0,6,3,4.5,101.0,"MailerLite Email Marketing|Social Proof, Urgency, Pop ups|Dynamic Banner Suite"
mailing list,389,210,179,4.65,159.0,"ONE+ Sales Pop Ups, SMS, Email|Product Recommendation Quiz|Popup | Email Pop Up & Sign Up"
manychat,0,1,4,4.4,56.0,"Easy Tag ‑ GTM & Data Layer|Cross sell, Exit & Email Popup|Best Exit Popup & Email Popup!"
map,327,149,178,4.29,112.0,Secomapp: Store Locator Map |Waze & Google Maps Navigation|POWR Map + Store Locator
maps,326,149,177,4.35,225.0,Secomapp: Store Locator Map |Waze & Google Maps Navigation|Lucky Orange Heatmaps & Replay
marketing,1626,913,713,4.64,1900.0,SMSBump SMS Marketing|Postscript SMS Marketing |Secomapp: Affiliate Marketing
marketplace,277,169,108,4.19,418.0,Etsy Marketplace Integration|eBay Marketplace Integration|Walmart Marketplace
marsello,0,7,3,4.68,385.0,Keep Cart|Marsello|Abandoned Cart Recovery
massfulfill,0,4,1,4.85,53.0,MassFulfill|Bulk Fulfill|Dropship Agent ‑ Sourcing
mass fulfill,215,134,81,4.25,63.0,MassFulfill|Bulk Fulfill|Auto Fulfill
mcafee,0,4,2,3.76,346.0,TrustedSite Certification|Free Trust Badge Master|Trust Hero ‑ Trust Badges
mcafee secure,36,17,19,4.23,209.0,TrustedSite Certification|Shop Secure|Subscription & Recurring Order
mega menu,74,39,35,4.8,123.0,Smart Mega Menu & Navigation|Mega Menu|Buddha Mega Menu
membership,44,21,23,4.39,308.0,Bold Memberships|AAA Membership + Wholesale B2B|Eber ‑ Loyalty & Membership
member,166,89,77,4.52,588.0,AAA Membership + Wholesale B2B|Automatic Discounts & Gifts|Bold Custom Pricing: Wholesale
menu,152,72,80,4.76,312.0,Smart Mega Menu & Navigation|Mega Menu|Buddha Mega Menu
messenger,208,138,70,4.61,494.0,Facebook Messenger ‑ Live Chat|Recart FB Messenger Marketing|Messenger channel
message,916,524,392,4.65,650.0,SMS Text Messaging & Marketing|Klarna On‑Site Messaging|Affirm pay‑over‑time messaging
messenger channel,157,104,53,4.23,692.0,Messenger channel|Messenger ‑ Facebook Chat|Social King
metafields,114,47,67,4.69,110.0,Metafields Guru|Metafields Manager|Metafields Custom Field Master
metafield,114,47,67,4.69,110.0,Metafields Guru|Metafields Manager|Metafields Custom Field Master
meta,130,68,62,4.73,897.0,SEO Suite: Image Optimizer|SEO Optimizer: All‑in‑one SEO|SEO Doctor ‑ Rank Booster
migration,174,122,52,4.69,117.0,Matrixify (Excelify)|Cart2Cart Store Migration App|LitExtension Store Migration
milestones,0,13,3,4.2,64.0,Milestones ‑ VIP discounts|Milestone Motivator|Completo ‑ Free Shipping Bar
minifier,68,39,29,4.65,351.0,Minifier SEO Image Optimizer|Custom CSS Editor & Minify|SW‑Page Speed Image Optimizer
minimum order,597,291,306,4.28,74.0,Kin Custom|Wholesale ‑ All in one|Volume & Discounted Pricing
minify,68,39,29,4.65,351.0,Custom CSS Editor & Minify|Minifier SEO Image Optimizer|SW‑Page Speed Image Optimizer
minimum,255,141,114,4.6,569.0,Order Limits ‑ MinMaxify|Order Minimum App|MinCart ‑ Min Max order limits
mobile app,839,400,439,4.69,178.0,Mobile App Builder ‑ Vajro |Mobile App Builder ‑ Shopney|Tapcart ‑ Mobile App 
mobile,1219,664,555,4.77,107.0,Mobile App Builder ‑ Vajro |Mobile App Builder ‑ Shopney|Tapcart ‑ Mobile App 
mobile web boost,425,224,201,4.79,576.0,"SW‑Page Speed Image Optimizer|Ultimate Sales Boost|PWA, Mobile app & Web Push"
modalyst,0,12,2,4.57,260.0,Modalyst ‑ Dropshipping|Modalyst for Suppliers|GDPR/CCPA + Cookie Management
mollie,0,0,2,4.8,14.0,Profit Calc: Profit Dashboard|Moneybird Bookkeeping
motivator,177,107,70,4.74,1123.0,Sales Motivator ‑ Free Gifts|Bold Sales Motivator|Free Shipping Bar
multi currency,221,103,118,4.75,934.0,MULTI CURRENCY CONVERTER HERO|Auto Multi Currency Converter|Multi Currency Checkouts+
multi vendor,124,52,72,4.36,103.0,Multi Vendor Marketplace|ShipTurtle Multi Vendor|Puppet Vendors
multi language,173,87,86,4.82,471.0,Translation Lab ‑ AI Translate|Translate & Currency Converter|Translate My Store & Currency
multi,561,274,287,4.77,376.0,MULTI CURRENCY CONVERTER HERO|Auto Multi Currency Converter|Multi Abandoned Cart Recovery
multilingual,52,33,19,4.64,574.0,Translate your shop GTranslate|Translate Language ‑ConveyThis|Knawat‑ Bilingual Dropshipping
multiple discounts,376,180,196,4.31,105.0,Stack Discounts|SELLY ‑ Promotion & Pricing|Stackable Discounts
music,41,18,23,4.55,27.0,Custom Background Music|Audio Background Music Player|Single Music
mxed,0,2,2,3.95,197.0,Gift Cards & Loyalty Program|EasyTeam POS & Web Time Clock |Spin Wheel Pop Ups ‑ SmashPops
navigation,280,127,153,4.87,226.0,Smart Mega Menu & Navigation|Mobile Menu & Navigation|Buddha Mega Menu
netsuite,0,3,7,4.0,29.0,Robust NetSuite Integrator|NetSuite Integration|Jetti
netparcel,0,3,2,4.18,54.0,netParcel|Purolator|Australia Post eParcel Rates
newsletter,156,83,73,4.33,1465.0,"Automizely Email, Sales Pop Up|ONE+ Sales Pop Ups, SMS, Email|Newsletters by Promo.ai"
norton,0,3,3,4.6,421.0,SEO Suite: Image Optimizer|TrustedSite Certification|Better Site Verifications
nosto,0,4,2,4.33,93.0,Nosto|Shopify Flow|Tapcart ‑ Mobile App 
notifications,941,531,410,4.8,453.0,"PushOwl Web Push Notification|Sales Pop ‑ Sales notification|Social Proof, Urgency, Pop ups"
notification,941,531,410,4.83,502.0,"PushOwl Web Push Notification|Sales Pop ‑ Sales notification|Social Proof, Urgency, Pop ups"
notify,546,312,234,4.7,192.0,"Back in Stock ‑ Restock Notify|Rush ‑ Ship, Track, Notify|Low Stock & In Stock Notifier"
notify me,229,131,98,4.45,185.0,Back in stock ‑ Restock Alerts|Notify Me|Coming Soon Products Marketing
notification bar,384,244,140,4.6,511.0,Quick Announcement Bar|Easy Notification Bar|HTML Notification Bar
options,1867,900,967,4.75,399.0,Infinite Options|Infinite Product Options|Variants Options Swatch King
optinmonster,0,4,4,4.64,206.0,"Best Exit Popup & Email Popup!|Pop Up, Email & Exit Pop Ups|Cross sell, Exit & Email Popup"
optimize,1034,576,458,4.69,521.0,Booster: Page Speed Optimizer|SW‑Page Speed Image Optimizer|Page Speed Optimizer Pro ‑ SEO
optimonk,78,33,45,4.77,705.0,"Exit Intent Popup by OptiMonk|Pop Up, Email & Exit Pop Ups|Email Pop up Spin Wheel Popups"
option,1867,900,967,4.75,399.0,Infinite Options|Infinite Product Options|Variants Options Swatch King
optimization,1034,576,458,4.69,521.0,Booster: Page Speed Optimizer|SW‑Page Speed Image Optimizer|Page Speed Optimizer Pro ‑ SEO
orange,0,7,4,4.43,508.0,Lucky Orange Heatmaps & Replay|Invoicing with InvoiceXpress|Replay Live Session Recordings
order printer,695,376,319,4.66,342.0,PDF Invoice: Order Printer+|Order Printer Pro|Order Printer Templates
order tracking,782,388,394,4.69,300.0,AfterShip Order Tracking & SMS|ParcelPanel Order Tracking Pro|Tracktor Order Tracking
order lookup,574,271,303,4.59,211.0,Order Lookup|AfterShip Order Tracking & SMS|ParcelPanel Order Tracking Pro
order,2951,1593,1358,4.67,349.0,AfterShip Order Tracking & SMS|ParcelPanel Order Tracking Pro|Tracktor Order Tracking
order limits,620,303,317,4.45,95.0,Order Limits ‑ MinMaxify|OrderLogic ‑ Min & Max Limits|Min&Max Limits by Limitsify
order limit,620,303,317,4.45,95.0,Order Limits ‑ MinMaxify|OrderLogic ‑ Min & Max Limits|Min&Max Limits by Limitsify
out of stock,364,182,182,4.75,180.0,Out‑of‑Stock Police|Push Down & Hide Out of Stock|StockyPhi ‑ Hide Out Of Stock
out of the sandbox,125,70,55,4.43,84.0,Theme Updater|Gift Cards & Loyalty Program|Section Feed ‑ Instagram Feed
outfy,0,3,4,3.3,235.0,"Outfy ‑ Automate Social Media|FREE Instagram, Facebook Post|Sellable Instagram"
outlink,0,12,2,4.62,45.0,Outlink External Links Button|AOD External Links Button|Quicklink
packing slip,537,338,199,4.67,232.0,PDF Invoice: Order Printer+|Vify PDF Invoice & Order Print|Drag & Drop PDF Invoice
page builder,545,234,311,4.53,718.0,PageFly Landing Page Builder|LayoutHub Easy Page Builder|GemPages Flexible Page Builder
pagefly,38,30,8,4.83,960.0,PageFly Landing Page Builder|SEO Suite: Image Optimizer|Ali Reviews ‑ Product Reviews
page,2761,1326,1435,4.69,724.0,PageFly Landing Page Builder|LayoutHub Easy Page Builder|GemPages Flexible Page Builder
page speed,377,170,207,4.46,481.0,Booster: Page Speed Optimizer|Page Speed Booster|SW‑Page Speed Image Optimizer
pages,2761,1326,1435,4.69,722.0,PageFly Landing Page Builder|LayoutHub Easy Page Builder|GemPages Flexible Page Builder
page studio,364,155,209,4.7,688.0,Page Studio Page Builder|Blog Studio|PageFly Landing Page Builder
pagespeed,0,14,7,4.51,187.0,Booster: Page Speed Optimizer|PageSpeed Monitor|SEO Image Optimizer+Page Speed
page editor,420,183,237,4.43,603.0,Page Builder & PRO page editor|AZEXO Free Page Builder|Variant Custom Product Options
pakkelabels,0,0,0,0,0,
parcelify,0,2,1,3.8,94.0,Shipping Rates by Parcelify|Ask to Buy ‑ Cart as registry|Parcelly Click & Collect
parcelamento,0,0,1,4.9,48.0,Parcelamento ‑ Installments
password,84,32,52,4.49,174.0,B2B Login Access Management|MagicPass Wholesale|Hide Collection ‑ Secret store
paypal,139,58,81,4.16,295.0,Hide PayPal in Cart|PayPal Marketing Solutions|TrackiPal
payment,537,289,248,4.28,256.0,PayWhirl Subscription Payments|Custom Payment Icons|Ultimate Trust Badges
payments,537,289,248,4.28,256.0,PayWhirl Subscription Payments|Ultimate Trust Badges|Deposits & Split Payments‑Depo
payment plan,69,37,32,4.01,31.0,Laybuy|Installment Recurring Payments|Klarna On‑Site Messaging
pay,770,442,328,4.24,612.0,Affirm pay‑over‑time messaging|Advanced PreOrder(Partial Pay)|Make Offer + Pay What You Want
pay later,215,121,94,4.21,86.0,"Klarna On‑Site Messaging|Charge Me Later, Wholesale app|Laybuy"
payment gateway,89,45,44,4.59,430.0,Currency Converter Ultimate|Ultimate Sales Boost|Parcelamento ‑ Installments
paypal tracking,202,93,109,4.29,223.0,TrackiPal|SyncTrack ‑ Add tracking auto|MetaTrack
paywhirl,0,4,1,4.76,325.0,PayWhirl Subscription Payments|Upsell Wizard: Upsell Funnels|Social King
pdf,127,62,65,4.69,88.0,PDF Invoice: Order Printer+|Vify PDF Invoice & Order Print|Drag & Drop PDF Invoice
personalized recommendations,196,117,79,4.82,573.0,Personalized Recommendations|Personalized Recommendations|Frequently Bought Together
personalized recommendation,196,117,79,4.82,573.0,Personalized Recommendations|Personalized Recommendations|Frequently Bought Together
personalize,926,541,385,4.45,220.0,Point of Sale|Sesami: Appointment Booking|Product Personalizer
persistent cart,449,251,198,4.67,605.0,Persistent Cart|iCart Cart Drawer Cart Upsell|FREE Abandoned Cart ‑ FB Chat
personalization,926,541,385,4.55,222.0,Point of Sale|Sesami: Appointment Booking|Rebuy Personalization Engine
photo gallery,153,98,55,4.5,141.0,Instagram Feed + Photo Gallery|Instagram Feed ‑ Photo Gallery|POWR Photo Gallery
photo,393,240,153,4.79,1298.0,Loox Product Reviews & Photos|Yotpo Product Reviews & Photos|Photo Resize
photo reviews,306,174,132,4.73,1423.0,Product Review ‑ Photo Reviews|Loox Product Reviews & Photos|Fera Product Reviews App
photo resize,109,77,32,4.38,633.0,Photo Resize|PixPix Image Editor|Smart Photo Resize & Cropper
photo review,306,174,132,4.73,1423.0,Product Review ‑ Photo Reviews|Loox Product Reviews & Photos|Fera Product Reviews App
photos,392,239,153,4.81,1310.0,Loox Product Reviews & Photos|Yotpo Product Reviews & Photos|Product Reviews & photos ‑ EA
photo editor,216,119,97,4.6,652.0,Swap Photo Editor|PixPix Image Editor|Easy Product Photo Editor
phone,496,283,213,4.71,320.0,Shop Phone (formerly Scout)|EasyCall ‑ Phone Number & Call|Toll Free Phone Number & Calls
pickup,218,107,111,4.38,119.0,In Store Pickup Local Delivery|Store Pickup + Delivery|Store Pickup Click and Collect
pick up,355,186,169,4.6,100.0,In Store Pickup Local Delivery|Store Pickup + Delivery|Store Pickup Click and Collect
picture,257,110,147,4.76,558.0,Picture It|PixPix Image Editor|TargetBay Product Reviews App
pictures,257,110,147,4.76,558.0,Picture It|PixPix Image Editor|TargetBay Product Reviews App
pillow profits,262,148,114,4.75,85.0,BeProfit Profit Calc & Reports|Profit Calc: Profit Dashboard|Lifetimely: Profit & LTV
pillow profit,262,148,114,4.75,85.0,BeProfit Profit Calc & Reports|Profit Calc: Profit Dashboard|Lifetimely: Profit & LTV
pinterest,149,82,67,4.73,787.0,"Pinterest|Pinterest ""Pin It"" Button|Pinterest Pixel Tag ‑ PinTag"
ping,58,27,31,4.74,91.0,Shopify Chat|Mobile App Builder ‑ Shopney|SMS Text Messaging & Marketing
pintrest,26,16,10,4.47,408.0,"Judge.me Product Reviews|Pinterest|Pinterest ""Pin It"" Button"
pixel,192,94,98,4.34,89.0,FBTrack ‑ Facebook Pixels App|Facebook Multi Pixels|Trackify X  Facebook Pixel 
pixel perfect,134,57,77,4.3,43.0,Pixel Perfect|WhatsApp Chat Button & More|AZEXO Free Page Builder
pixel bay,521,301,220,4.29,569.0,Pixel Bay|TiXel ‑ TikTok Pixel Installer|Facebook Multi Pixels
pixels,192,94,98,4.4,497.0,FBTrack ‑ Facebook Pixels App|Facebook Multi Pixels|WinAds : Facebook Pixels
pixelpop,0,3,1,4.9,118.0,"Pixelpop Popups & Banners|Cross sell, Exit & Email Popup|Bump ‑ Email & Sales Popups"
pixc,0,6,3,4.67,308.0,Photo Resize|Auto Alt Text|Image Editing On‑Demand
pixel union,68,22,46,4.29,125.0,Ultimate Special Offers|Wholesale Club|Countdown Sales Timer
plobal,120,71,49,4.74,247.0,Plobal ‑ Mobile App Builder|Mobile App Builder ‑ Vajro |Variants Options Swatch King
plugin seo,245,116,129,4.8,701.0,SEO Expert Pro ‑ All in One|SPO (SEO Product Optimizer) v2|ProSEOTracker
pod,220,123,97,4.32,179.0,WowFulfillment:Shoe POD|Lumise ‑ POD Product Designer|Podify Dynamic Print on Demand
point of sale,934,523,411,4.09,82.0,Point of Sale|POS system by ConnectPOS|PHP Point Of Sale
points,582,356,226,4.37,317.0,Point of Sale|Glow: Loyalty Points & Rewards|Smile: Rewards & Loyalty 
point,582,356,226,4.37,317.0,Point of Sale|Glow: Loyalty Points & Rewards|Smile: Rewards & Loyalty 
pop ups,577,315,262,4.8,1757.0,"Privy ‑ Pop Ups, Email, & SMS|ONE+ Sales Pop Ups, SMS, Email|Automizely Email, Sales Pop Up"
popup,656,355,301,4.71,1636.0,Spin Wheel Pop ups Email Popup|Email Pop up Spin Wheel Popups|Secomapp: Promotion Popup
pop,598,328,270,4.82,2047.0,"Automizely Email, Sales Pop Up|Sales Pop up ‑ Conversion Pro|Sales Notification | Sales Pop"
popups,648,353,295,4.75,1647.0,Email Pop up Spin Wheel Popups|Spin Wheel Pop ups Email Popup|Sales Pop up ‑ Conversion Pro
portfolio,33,20,13,4.59,69.0,XO Gallery|Elfsight Portfolio|Team Showcase by Omega
pos,428,216,212,4.17,223.0,POS system by ConnectPOS|EasyTeam POS & Web Time Clock |Sell Products by Weight in POS
post,723,386,337,4.7,210.0,"FREE Instagram, Facebook Post|AfterSell Post Purchase Upsell|Post & DHL Shipping (official)"
powr,170,103,67,4.12,182.0,POWR FAQ & Help Center|POWR Image Slider & Carousel|POWR Countdown Timer
power tools,311,178,133,4.57,297.0,Bulk Edit Tags by Power Tools|Filter Menu by Power Tools|Power Tools Suite
pre-order,685,327,358,4.65,241.0,Globo Pre‑Order ‑ Preorder NOW|Pre‑order Now ‑ PreOrder|Pre‑Order Manager 2.0 PreOrder
printful,535,354,181,4.37,363.0,Printful: Print on Demand|Printify: Print on Demand|SPOD ‑ Print‑on‑Demand
print on demand,279,196,83,4.37,363.0,Printful: Print on Demand|Printify: Print on Demand|SPOD ‑ Print‑on‑Demand
privy,63,41,22,4.79,1460.0,"Privy ‑ Pop Ups, Email, & SMS|Abandoned Cart Recovery Hero|Email Pop up Spin Wheel Popups"
printify,0,10,6,4.71,197.0,Printify: Print on Demand|Podify Dynamic Print on Demand|Teeinblue Product Personalizer
print,535,354,181,4.37,363.0,Printful: Print on Demand|Printify: Print on Demand|SPOD ‑ Print‑on‑Demand
price,1486,747,739,4.64,265.0,Volume & Discounted Pricing|Wholesale Pricing Discount|Request Quote & Hide Prices
pricing,1486,747,739,4.65,265.0,Volume & Discounted Pricing|Wholesale Pricing Discount|Bold Custom Pricing: Wholesale
print aura,177,133,44,4.29,376.0,Print Aura|Printful: Print on Demand|Aura
product reviews,1429,691,738,4.84,1545.0,Judge.me Product Reviews|Loox Product Reviews & Photos|Ali Reviews ‑ Product Reviews
product review,1429,691,738,4.84,1545.0,Judge.me Product Reviews|Loox Product Reviews & Photos|Ali Reviews ‑ Product Reviews
product options,1450,710,740,4.72,437.0,Infinite Product Options|Variant Custom Product Options|Product Options Variant Option
product,4210,2137,2073,4.74,1671.0,Judge.me Product Reviews|Loox Product Reviews & Photos|Ali Reviews ‑ Product Reviews
purchase order,653,310,343,4.61,138.0,Simple Purchase Orders|Auto Purchase Orders|Easy Purchase Orders
purolator,0,13,11,4.49,116.0,Purolator|netParcel|Purolator Small Package Quotes
pure chat,195,109,86,4.61,356.0,Pure Chat ‑ Live Chat|Whatsapp Chat + Abandoned Cart|Shopify Chat
pushowl,32,24,8,4.77,960.0,PushOwl Web Push Notification|Abandoned Cart Recovery Hero|Multi Abandoned Cart Recovery
push,278,164,114,4.77,448.0,PushOwl Web Push Notification|Smart Push Marketing ‑ WebPush|Otis Web Push Notifications
push notifications,271,156,115,4.53,366.0,PushOwl Web Push Notification|Otis Web Push Notifications|Notifier ‑ Push Notifications
push notification,271,156,115,4.53,366.0,PushOwl Web Push Notification|Otis Web Push Notifications|Notifier ‑ Push Notifications
pwa,0,7,7,4.83,331.0,"PWA, Mobile app & Web Push|PWA ‑ Create Android & iOS App|Pushippo Push Notifications"
quantity breaks,96,41,55,4.71,289.0,QD (Quantity Breaks/Discounts)|Quantity Breaks & Discounts|VITALS | 40+ Apps in One
quantity discount,281,145,136,4.57,438.0,Haron Quantity Discount|QD (Quantity Breaks/Discounts)|Bulk Discounts Now
quantity,428,169,259,4.72,191.0,QD (Quantity Breaks/Discounts)|Quantity Breaks & Discounts|VITALS | 40+ Apps in One
quantity break,96,41,55,4.71,289.0,QD (Quantity Breaks/Discounts)|Quantity Breaks & Discounts|VITALS | 40+ Apps in One
quickbooks,57,19,38,4.72,157.0,QuickBooks Online|QuickBooks or Xero Sync|QuickBooks Online Sync
quick view,191,83,108,4.43,290.0,Quick View & Color Swatch ++|Secomapp: Quick View|Qimify Quick View
quiz,31,20,11,4.78,33.0,"Product Recommendation Quiz|Octane AI Quiz, Messenger, SMS|Quiz Kit ‑ Top Rated Quiz App"
quick announcement bar,311,193,118,4.87,805.0,Quick Announcement Bar|PS ‑ Quick announcement bar|Sale Kit ‑ Social Proof bundle
quickbook,57,19,38,4.72,157.0,QuickBooks Online|QuickBooks or Xero Sync|QuickBooks Online Sync
quickbooks online,141,63,78,4.69,152.0,QuickBooks Online|QuickBooks Online Sync|QuickBooks Online Connector
